| Depth | Width | Resolution | d*w^2*r^2 |
|:-----:|:-----:|:----------:|:---------:|
|   1   |   1   |     1      |     -     |
|  1,2  |  1,1  |    1,15    |    1,92   |
|  1,1  |  1,2  |    1,15    |    2,09   |
|  1,3  |  1,15 |    1,1     |    2,08   |
|   1   |  1,1  |    1,3     |    2,04   |
|   1   |  1,3  |    1,1     |    2,04   |
|  1,1  |  1,05 |    1,3     |    2,04   |
|  1,35 |  1,1  |    1,1     |    1,97   |
|  1,1  |  1,3  |    1,05    |    2,04   |
|  1,1  |  1,05 |    1,3     |    2,04   |
