results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase3_CustomDA_CoefficientSearch/
Data loaded!

8 Classes detected!
verbose: False
output_dir: results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase3_CustomDA_CoefficientSearch/
path_extension: steplr_phase3_CustomDA_CoefficientSearch
compound_coefficient: 1.0
batch_size: 32
epochs: 300
crop_size: 224
learning_rate: 0.01
depth_coefficient: 1.0
img_size: 256
width_coefficient: 1.0
data_augmentation: True
model_name: efficientnet
freezed_epochs: 0
optimizer: sgd
balanced_sampler: False
pretrained_imagenet: False
resolution_coefficient: 1.0

---- Start Training ----
[2019-07-08 10:33:28] Epoch 1, LR: 0.010000, Train Loss: 1.243128, Val Loss: 1.075636, Train Acc: 55.36, Val Acc: 59.66, Val Balanced Acc: 0.24
[2019-07-08 10:42:35] Epoch 2, LR: 0.010000, Train Loss: 1.125984, Val Loss: 1.025081, Train Acc: 59.17, Val Acc: 63.24, Val Balanced Acc: 0.27
[2019-07-08 10:51:38] Epoch 3, LR: 0.010000, Train Loss: 1.088133, Val Loss: 0.989961, Train Acc: 60.75, Val Acc: 65.42, Val Balanced Acc: 0.34
[2019-07-08 11:00:37] Epoch 4, LR: 0.010000, Train Loss: 1.053065, Val Loss: 0.976619, Train Acc: 61.80, Val Acc: 64.34, Val Balanced Acc: 0.32
[2019-07-08 11:09:38] Epoch 5, LR: 0.010000, Train Loss: 1.033214, Val Loss: 0.951002, Train Acc: 62.46, Val Acc: 65.29, Val Balanced Acc: 0.34
[2019-07-08 11:18:38] Epoch 6, LR: 0.010000, Train Loss: 1.017879, Val Loss: 0.932819, Train Acc: 63.06, Val Acc: 66.26, Val Balanced Acc: 0.37
[2019-07-08 11:27:38] Epoch 7, LR: 0.010000, Train Loss: 0.997273, Val Loss: 0.904487, Train Acc: 64.04, Val Acc: 67.68, Val Balanced Acc: 0.38
[2019-07-08 11:36:40] Epoch 8, LR: 0.010000, Train Loss: 0.980366, Val Loss: 0.907097, Train Acc: 64.38, Val Acc: 66.71, Val Balanced Acc: 0.36
[2019-07-08 11:45:41] Epoch 9, LR: 0.010000, Train Loss: 0.968735, Val Loss: 0.886511, Train Acc: 64.56, Val Acc: 68.03, Val Balanced Acc: 0.37
[2019-07-08 11:54:42] Epoch 10, LR: 0.010000, Train Loss: 0.958618, Val Loss: 0.869026, Train Acc: 65.01, Val Acc: 68.08, Val Balanced Acc: 0.39
[2019-07-08 12:03:43] Epoch 11, LR: 0.010000, Train Loss: 0.945443, Val Loss: 0.912569, Train Acc: 65.41, Val Acc: 67.24, Val Balanced Acc: 0.40
[2019-07-08 12:12:45] Epoch 12, LR: 0.010000, Train Loss: 0.934380, Val Loss: 0.866850, Train Acc: 65.95, Val Acc: 69.34, Val Balanced Acc: 0.42
[2019-07-08 12:21:46] Epoch 13, LR: 0.010000, Train Loss: 0.924930, Val Loss: 0.866505, Train Acc: 66.11, Val Acc: 68.08, Val Balanced Acc: 0.41
[2019-07-08 12:30:46] Epoch 14, LR: 0.010000, Train Loss: 0.919009, Val Loss: 0.896900, Train Acc: 66.49, Val Acc: 67.42, Val Balanced Acc: 0.41
[2019-07-08 12:39:47] Epoch 15, LR: 0.010000, Train Loss: 0.919196, Val Loss: 0.854039, Train Acc: 66.72, Val Acc: 69.45, Val Balanced Acc: 0.43
[2019-07-08 12:48:48] Epoch 16, LR: 0.010000, Train Loss: 0.908818, Val Loss: 0.846931, Train Acc: 66.64, Val Acc: 69.05, Val Balanced Acc: 0.42
[2019-07-08 12:57:47] Epoch 17, LR: 0.010000, Train Loss: 0.900386, Val Loss: 0.831773, Train Acc: 66.74, Val Acc: 69.74, Val Balanced Acc: 0.41
[2019-07-08 13:06:50] Epoch 18, LR: 0.010000, Train Loss: 0.898316, Val Loss: 0.881882, Train Acc: 66.82, Val Acc: 68.16, Val Balanced Acc: 0.43
[2019-07-08 13:15:50] Epoch 19, LR: 0.010000, Train Loss: 0.893293, Val Loss: 0.820605, Train Acc: 67.24, Val Acc: 70.34, Val Balanced Acc: 0.47
[2019-07-08 13:24:51] Epoch 20, LR: 0.010000, Train Loss: 0.886758, Val Loss: 0.864295, Train Acc: 67.20, Val Acc: 68.53, Val Balanced Acc: 0.47
[2019-07-08 13:33:52] Epoch 21, LR: 0.010000, Train Loss: 0.890590, Val Loss: 0.849131, Train Acc: 67.13, Val Acc: 69.47, Val Balanced Acc: 0.42
[2019-07-08 13:42:55] Epoch 22, LR: 0.010000, Train Loss: 0.886778, Val Loss: 0.825654, Train Acc: 67.58, Val Acc: 70.16, Val Balanced Acc: 0.44
[2019-07-08 13:51:57] Epoch 23, LR: 0.010000, Train Loss: 0.880387, Val Loss: 0.880040, Train Acc: 68.11, Val Acc: 68.95, Val Balanced Acc: 0.43
[2019-07-08 14:00:59] Epoch 24, LR: 0.010000, Train Loss: 0.876991, Val Loss: 0.830339, Train Acc: 67.79, Val Acc: 70.24, Val Balanced Acc: 0.47
[2019-07-08 14:10:01] Epoch 25, LR: 0.010000, Train Loss: 0.871371, Val Loss: 0.863109, Train Acc: 68.11, Val Acc: 67.74, Val Balanced Acc: 0.42
