Data loaded!

8 Classes detected!
verbose: False
lr_scheduler: False
depth_coefficient: 1.0
learning_rate: 0.001
epochs: 200
compound_coefficient: 1.0
width_coefficient: 1.0
model_name: efficientnet
output_dir: results/efficientnet_adam_0.001_d1.0_w1.0_r1.0_c1.0/
crop_size: 224
batch_size: 32
data_augmentation: False
img_size: 256
resolution_coefficient: 1.0
optimizer: adam
path_extension: 

---- Start Training ----
[2019-06-04 17:11:53] Epoch 1, Train Loss: 1.214257, Val Loss: 1.143852, Train Acc: 55.88, Val Acc: 59.28
[2019-06-04 17:20:54] Epoch 2, Train Loss: 1.115473, Val Loss: 1.114404, Train Acc: 59.56, Val Acc: 58.99
[2019-06-04 17:29:55] Epoch 3, Train Loss: 1.072045, Val Loss: 1.061090, Train Acc: 61.46, Val Acc: 62.36
[2019-06-04 17:38:55] Epoch 4, Train Loss: 1.046809, Val Loss: 1.027028, Train Acc: 62.27, Val Acc: 63.17
[2019-06-04 17:47:55] Epoch 5, Train Loss: 1.021194, Val Loss: 1.118046, Train Acc: 63.17, Val Acc: 61.73
[2019-06-04 17:56:54] Epoch 6, Train Loss: 1.012803, Val Loss: 1.039328, Train Acc: 63.59, Val Acc: 62.86
[2019-06-04 18:05:53] Epoch 7, Train Loss: 0.997770, Val Loss: 0.993992, Train Acc: 64.18, Val Acc: 64.52
[2019-06-04 18:14:52] Epoch 8, Train Loss: 0.984757, Val Loss: 0.988804, Train Acc: 64.61, Val Acc: 64.62
[2019-06-04 18:23:51] Epoch 9, Train Loss: 0.973413, Val Loss: 0.972411, Train Acc: 65.42, Val Acc: 64.70
[2019-06-04 18:32:51] Epoch 10, Train Loss: 0.961536, Val Loss: 0.942999, Train Acc: 65.25, Val Acc: 66.57
[2019-06-04 18:41:51] Epoch 11, Train Loss: 0.947532, Val Loss: 0.951938, Train Acc: 66.10, Val Acc: 65.89
[2019-06-04 18:50:51] Epoch 12, Train Loss: 0.939773, Val Loss: 0.943185, Train Acc: 66.15, Val Acc: 66.23
[2019-06-04 18:59:52] Epoch 13, Train Loss: 0.934523, Val Loss: 0.937378, Train Acc: 66.64, Val Acc: 65.70
[2019-06-04 19:08:55] Epoch 14, Train Loss: 0.931513, Val Loss: 0.957209, Train Acc: 66.53, Val Acc: 66.54
[2019-06-04 19:17:56] Epoch 15, Train Loss: 0.918013, Val Loss: 0.949527, Train Acc: 67.03, Val Acc: 66.78
[2019-06-04 19:26:56] Epoch 16, Train Loss: 0.912295, Val Loss: 0.988405, Train Acc: 67.02, Val Acc: 64.49
[2019-06-04 19:35:57] Epoch 17, Train Loss: 0.902036, Val Loss: 0.920121, Train Acc: 67.42, Val Acc: 67.28
[2019-06-04 19:44:57] Epoch 18, Train Loss: 0.890391, Val Loss: 0.916115, Train Acc: 68.03, Val Acc: 66.81
[2019-06-04 19:53:57] Epoch 19, Train Loss: 0.889938, Val Loss: 0.928433, Train Acc: 67.77, Val Acc: 65.44
[2019-06-04 20:02:57] Epoch 20, Train Loss: 0.882159, Val Loss: 0.924365, Train Acc: 68.05, Val Acc: 67.31
[2019-06-04 20:11:57] Epoch 21, Train Loss: 0.880358, Val Loss: 0.894306, Train Acc: 68.19, Val Acc: 67.91
[2019-06-04 20:20:56] Epoch 22, Train Loss: 0.870730, Val Loss: 0.889628, Train Acc: 68.56, Val Acc: 68.25
[2019-06-04 20:29:56] Epoch 23, Train Loss: 0.857712, Val Loss: 0.887544, Train Acc: 68.88, Val Acc: 67.62
[2019-06-04 20:38:57] Epoch 24, Train Loss: 0.856703, Val Loss: 0.902533, Train Acc: 69.17, Val Acc: 68.47
[2019-06-04 20:47:57] Epoch 25, Train Loss: 0.842906, Val Loss: 0.891074, Train Acc: 69.39, Val Acc: 67.57
[2019-06-04 20:56:56] Epoch 26, Train Loss: 0.841129, Val Loss: 0.908424, Train Acc: 69.75, Val Acc: 67.91
[2019-06-04 21:05:56] Epoch 27, Train Loss: 0.837021, Val Loss: 0.897713, Train Acc: 69.73, Val Acc: 66.52
[2019-06-04 21:14:55] Epoch 28, Train Loss: 0.825479, Val Loss: 0.855784, Train Acc: 69.92, Val Acc: 67.73
[2019-06-04 21:23:57] Epoch 29, Train Loss: 0.829138, Val Loss: 0.865847, Train Acc: 69.79, Val Acc: 69.10
[2019-06-04 21:32:57] Epoch 30, Train Loss: 0.824606, Val Loss: 0.874105, Train Acc: 70.00, Val Acc: 67.44
[2019-06-04 21:41:58] Epoch 31, Train Loss: 0.810270, Val Loss: 0.841346, Train Acc: 70.33, Val Acc: 68.86
[2019-06-04 21:51:00] Epoch 32, Train Loss: 0.813736, Val Loss: 0.865342, Train Acc: 70.23, Val Acc: 68.86
[2019-06-04 22:00:01] Epoch 33, Train Loss: 0.806208, Val Loss: 0.868831, Train Acc: 70.81, Val Acc: 68.78
[2019-06-04 22:09:02] Epoch 34, Train Loss: 0.795833, Val Loss: 0.851007, Train Acc: 70.88, Val Acc: 68.52
[2019-06-04 22:18:01] Epoch 35, Train Loss: 0.796727, Val Loss: 0.862445, Train Acc: 70.84, Val Acc: 68.68
[2019-06-04 22:27:03] Epoch 36, Train Loss: 0.790565, Val Loss: 0.849932, Train Acc: 71.30, Val Acc: 69.83
[2019-06-04 22:36:02] Epoch 37, Train Loss: 0.786426, Val Loss: 0.870215, Train Acc: 71.39, Val Acc: 68.70
[2019-06-04 22:45:01] Epoch 38, Train Loss: 0.780738, Val Loss: 0.886468, Train Acc: 71.30, Val Acc: 69.07
[2019-06-04 22:54:01] Epoch 39, Train Loss: 0.782689, Val Loss: 0.808851, Train Acc: 71.41, Val Acc: 70.10
[2019-06-04 23:03:01] Epoch 40, Train Loss: 0.774163, Val Loss: 0.840357, Train Acc: 71.70, Val Acc: 68.78
[2019-06-04 23:12:03] Epoch 41, Train Loss: 0.768244, Val Loss: 0.831401, Train Acc: 71.79, Val Acc: 69.91
[2019-06-04 23:21:03] Epoch 42, Train Loss: 0.766194, Val Loss: 0.813805, Train Acc: 71.93, Val Acc: 70.12
[2019-06-04 23:30:03] Epoch 43, Train Loss: 0.760472, Val Loss: 0.807306, Train Acc: 72.08, Val Acc: 69.73
