Data loaded!

8 Classes detected!
data_augmentation: False
depth_coefficient: 1.0
batch_size: 32
path_extension: 
crop_size: 224
width_coefficient: 1.0
learning_rate: 0.01
epochs: 200
img_size: 256
model_name: efficientnet
lr_scheduler: False
output_dir: results/efficientnet_sgd_0.01_d1.0_w1.0_r1.0_c1.0/
optimizer: sgd
resolution_coefficient: 1.0
compound_coefficient: 1.0
verbose: False

---- Start Training ----
[2019-06-04 17:12:29] Epoch 1, Train Loss: 1.194924, Val Loss: 1.187724, Train Acc: 57.41, Val Acc: 57.02
[2019-06-04 17:21:31] Epoch 2, Train Loss: 1.086548, Val Loss: 1.135996, Train Acc: 60.66, Val Acc: 60.28
[2019-06-04 17:30:32] Epoch 3, Train Loss: 1.042318, Val Loss: 1.059735, Train Acc: 62.26, Val Acc: 60.57
[2019-06-04 17:39:35] Epoch 4, Train Loss: 1.009026, Val Loss: 1.014279, Train Acc: 63.42, Val Acc: 63.89
[2019-06-04 17:48:36] Epoch 5, Train Loss: 0.980316, Val Loss: 1.032208, Train Acc: 64.63, Val Acc: 63.25
[2019-06-04 17:57:37] Epoch 6, Train Loss: 0.961878, Val Loss: 0.972783, Train Acc: 65.03, Val Acc: 65.33
[2019-06-04 18:06:37] Epoch 7, Train Loss: 0.939412, Val Loss: 0.951827, Train Acc: 65.66, Val Acc: 65.12
[2019-06-04 18:15:38] Epoch 8, Train Loss: 0.919778, Val Loss: 0.943603, Train Acc: 66.69, Val Acc: 64.94
[2019-06-04 18:24:40] Epoch 9, Train Loss: 0.896572, Val Loss: 0.891614, Train Acc: 67.51, Val Acc: 66.99
[2019-06-04 18:33:42] Epoch 10, Train Loss: 0.879540, Val Loss: 0.908760, Train Acc: 68.09, Val Acc: 66.57
[2019-06-04 18:42:45] Epoch 11, Train Loss: 0.863192, Val Loss: 0.966662, Train Acc: 68.41, Val Acc: 65.33
[2019-06-04 18:51:47] Epoch 12, Train Loss: 0.850116, Val Loss: 0.892304, Train Acc: 68.99, Val Acc: 67.57
[2019-06-04 19:00:48] Epoch 13, Train Loss: 0.836065, Val Loss: 0.933570, Train Acc: 69.34, Val Acc: 66.41
[2019-06-04 19:09:49] Epoch 14, Train Loss: 0.821286, Val Loss: 0.860419, Train Acc: 69.84, Val Acc: 68.83
[2019-06-04 19:18:52] Epoch 15, Train Loss: 0.808310, Val Loss: 0.842240, Train Acc: 70.36, Val Acc: 68.60
[2019-06-04 19:27:54] Epoch 16, Train Loss: 0.794593, Val Loss: 0.849130, Train Acc: 70.76, Val Acc: 69.15
[2019-06-04 19:36:55] Epoch 17, Train Loss: 0.789068, Val Loss: 0.911022, Train Acc: 71.10, Val Acc: 66.33
[2019-06-04 19:45:57] Epoch 18, Train Loss: 0.780401, Val Loss: 0.883252, Train Acc: 71.49, Val Acc: 67.94
[2019-06-04 19:54:59] Epoch 19, Train Loss: 0.761241, Val Loss: 0.859728, Train Acc: 71.91, Val Acc: 68.81
[2019-06-04 20:04:05] Epoch 20, Train Loss: 0.757694, Val Loss: 0.902136, Train Acc: 72.29, Val Acc: 67.41
[2019-06-04 20:13:07] Epoch 21, Train Loss: 0.747858, Val Loss: 0.884848, Train Acc: 72.82, Val Acc: 66.46
[2019-06-04 20:22:10] Epoch 22, Train Loss: 0.735451, Val Loss: 0.877193, Train Acc: 73.12, Val Acc: 67.75
[2019-06-04 20:31:11] Epoch 23, Train Loss: 0.729859, Val Loss: 0.867469, Train Acc: 73.17, Val Acc: 67.62
[2019-06-04 20:40:13] Epoch 24, Train Loss: 0.715792, Val Loss: 0.876131, Train Acc: 73.67, Val Acc: 68.97
[2019-06-04 20:49:15] Epoch 25, Train Loss: 0.713138, Val Loss: 0.824182, Train Acc: 73.66, Val Acc: 70.15
[2019-06-04 20:58:17] Epoch 26, Train Loss: 0.702980, Val Loss: 0.875364, Train Acc: 74.24, Val Acc: 67.25
[2019-06-04 21:07:18] Epoch 27, Train Loss: 0.694069, Val Loss: 0.890943, Train Acc: 74.71, Val Acc: 69.54
[2019-06-04 21:16:20] Epoch 28, Train Loss: 0.689818, Val Loss: 0.863501, Train Acc: 74.97, Val Acc: 68.62
[2019-06-04 21:25:23] Epoch 29, Train Loss: 0.678320, Val Loss: 0.810501, Train Acc: 75.26, Val Acc: 70.18
[2019-06-04 21:34:25] Epoch 30, Train Loss: 0.673771, Val Loss: 0.821529, Train Acc: 75.13, Val Acc: 69.57
[2019-06-04 21:43:26] Epoch 31, Train Loss: 0.665870, Val Loss: 0.836261, Train Acc: 75.70, Val Acc: 70.28
[2019-06-04 21:52:28] Epoch 32, Train Loss: 0.654299, Val Loss: 0.826050, Train Acc: 75.85, Val Acc: 70.54
[2019-06-04 22:01:30] Epoch 33, Train Loss: 0.653238, Val Loss: 0.869015, Train Acc: 76.23, Val Acc: 69.62
[2019-06-04 22:10:31] Epoch 34, Train Loss: 0.647679, Val Loss: 0.888496, Train Acc: 76.40, Val Acc: 69.65
[2019-06-04 22:19:32] Epoch 35, Train Loss: 0.642301, Val Loss: 0.864335, Train Acc: 76.50, Val Acc: 69.70
[2019-06-04 22:28:35] Epoch 36, Train Loss: 0.637866, Val Loss: 0.959579, Train Acc: 76.71, Val Acc: 66.02
[2019-06-04 22:37:37] Epoch 37, Train Loss: 0.622825, Val Loss: 0.776313, Train Acc: 77.05, Val Acc: 71.81
[2019-06-04 22:46:39] Epoch 38, Train Loss: 0.626640, Val Loss: 0.850845, Train Acc: 76.95, Val Acc: 70.44
[2019-06-04 22:55:41] Epoch 39, Train Loss: 0.620392, Val Loss: 0.817133, Train Acc: 77.24, Val Acc: 71.26
[2019-06-04 23:04:42] Epoch 40, Train Loss: 0.611782, Val Loss: 0.898857, Train Acc: 77.44, Val Acc: 68.31
[2019-06-04 23:13:43] Epoch 41, Train Loss: 0.611552, Val Loss: 0.887089, Train Acc: 77.37, Val Acc: 70.15
[2019-06-04 23:22:44] Epoch 42, Train Loss: 0.601909, Val Loss: 0.799533, Train Acc: 77.84, Val Acc: 70.68
[2019-06-04 23:31:45] Epoch 43, Train Loss: 0.593527, Val Loss: 0.895060, Train Acc: 78.16, Val Acc: 69.12
[2019-06-04 23:40:47] Epoch 44, Train Loss: 0.590553, Val Loss: 0.886320, Train Acc: 78.27, Val Acc: 69.65
[2019-06-04 23:49:51] Epoch 45, Train Loss: 0.591871, Val Loss: 0.807737, Train Acc: 78.41, Val Acc: 70.94
[2019-06-04 23:58:52] Epoch 46, Train Loss: 0.580653, Val Loss: 0.826787, Train Acc: 78.68, Val Acc: 70.70
[2019-06-05 00:07:53] Epoch 47, Train Loss: 0.571430, Val Loss: 0.854618, Train Acc: 79.06, Val Acc: 70.12
[2019-06-05 00:16:53] Epoch 48, Train Loss: 0.571494, Val Loss: 0.848903, Train Acc: 79.29, Val Acc: 70.02
[2019-06-05 00:25:54] Epoch 49, Train Loss: 0.559098, Val Loss: 0.863304, Train Acc: 79.51, Val Acc: 70.28
[2019-06-05 00:34:56] Epoch 50, Train Loss: 0.558091, Val Loss: 0.883628, Train Acc: 79.49, Val Acc: 71.23
[2019-06-05 00:43:57] Epoch 51, Train Loss: 0.546476, Val Loss: 0.944225, Train Acc: 80.11, Val Acc: 70.52
[2019-06-05 00:52:58] Epoch 52, Train Loss: 0.550241, Val Loss: 0.819244, Train Acc: 79.82, Val Acc: 71.12
[2019-06-05 01:01:58] Epoch 53, Train Loss: 0.542367, Val Loss: 0.812386, Train Acc: 80.19, Val Acc: 71.47
[2019-06-05 01:10:59] Epoch 54, Train Loss: 0.539505, Val Loss: 0.871482, Train Acc: 80.44, Val Acc: 71.41
[2019-06-05 01:20:01] Epoch 55, Train Loss: 0.529456, Val Loss: 0.856985, Train Acc: 80.96, Val Acc: 70.04
[2019-06-05 01:29:02] Epoch 56, Train Loss: 0.525917, Val Loss: 0.931391, Train Acc: 80.81, Val Acc: 68.04
[2019-06-05 01:38:04] Epoch 57, Train Loss: 0.518436, Val Loss: 0.852600, Train Acc: 81.16, Val Acc: 70.70
[2019-06-05 01:47:05] Epoch 58, Train Loss: 0.507250, Val Loss: 0.891036, Train Acc: 81.61, Val Acc: 70.68
[2019-06-05 01:56:07] Epoch 59, Train Loss: 0.513801, Val Loss: 0.840827, Train Acc: 81.45, Val Acc: 71.52
[2019-06-05 02:05:10] Epoch 60, Train Loss: 0.518107, Val Loss: 0.843724, Train Acc: 81.16, Val Acc: 71.47
[2019-06-05 02:14:12] Epoch 61, Train Loss: 0.499754, Val Loss: 0.789283, Train Acc: 81.52, Val Acc: 72.91
