results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_DA/
Data loaded!

8 Classes detected!
optimizer: sgd
output_dir: results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_DA/
path_extension: steplr_phase2_DA
data_augmentation: True
crop_size: 224
balanced_sampler: False
learning_rate: 0.01
batch_size: 32
width_coefficient: 1.0
verbose: False
model_name: efficientnet
epochs: 300
resolution_coefficient: 1.0
img_size: 256
compound_coefficient: 1.0
depth_coefficient: 1.0

---- Start Training ----
[2019-06-14 15:53:24] Epoch 1, LR: 0.010000, Train Loss: 1.239514, Val Loss: 1.104547, Train Acc: 55.51, Val Acc: 60.13, Val Balanced Acc: 0.22
[2019-06-14 16:04:33] Epoch 2, LR: 0.010000, Train Loss: 1.145714, Val Loss: 1.026348, Train Acc: 58.58, Val Acc: 62.76, Val Balanced Acc: 0.27
[2019-06-14 16:14:34] Epoch 3, LR: 0.010000, Train Loss: 1.107029, Val Loss: 1.037544, Train Acc: 59.90, Val Acc: 62.55, Val Balanced Acc: 0.29
[2019-06-14 16:24:35] Epoch 4, LR: 0.010000, Train Loss: 1.074839, Val Loss: 0.986277, Train Acc: 61.22, Val Acc: 63.89, Val Balanced Acc: 0.30
[2019-06-14 16:34:37] Epoch 5, LR: 0.010000, Train Loss: 1.052108, Val Loss: 0.950669, Train Acc: 62.01, Val Acc: 65.16, Val Balanced Acc: 0.33
[2019-06-14 16:44:42] Epoch 6, LR: 0.010000, Train Loss: 1.034139, Val Loss: 0.935375, Train Acc: 62.42, Val Acc: 66.32, Val Balanced Acc: 0.37
[2019-06-14 16:54:46] Epoch 7, LR: 0.010000, Train Loss: 1.020968, Val Loss: 0.951525, Train Acc: 62.96, Val Acc: 66.37, Val Balanced Acc: 0.38
[2019-06-14 17:04:51] Epoch 8, LR: 0.010000, Train Loss: 0.997251, Val Loss: 0.913378, Train Acc: 63.83, Val Acc: 66.61, Val Balanced Acc: 0.36
[2019-06-14 17:14:56] Epoch 9, LR: 0.010000, Train Loss: 0.989769, Val Loss: 0.909754, Train Acc: 64.15, Val Acc: 67.21, Val Balanced Acc: 0.38
[2019-06-14 17:25:00] Epoch 10, LR: 0.010000, Train Loss: 0.974847, Val Loss: 0.925812, Train Acc: 64.58, Val Acc: 67.42, Val Balanced Acc: 0.35
[2019-06-14 17:35:03] Epoch 11, LR: 0.010000, Train Loss: 0.965969, Val Loss: 0.885185, Train Acc: 64.66, Val Acc: 68.08, Val Balanced Acc: 0.40
[2019-06-14 17:45:09] Epoch 12, LR: 0.010000, Train Loss: 0.955923, Val Loss: 0.883567, Train Acc: 65.18, Val Acc: 68.05, Val Balanced Acc: 0.41
[2019-06-14 17:55:15] Epoch 13, LR: 0.010000, Train Loss: 0.950327, Val Loss: 0.856216, Train Acc: 65.51, Val Acc: 69.21, Val Balanced Acc: 0.44
[2019-06-14 18:05:20] Epoch 14, LR: 0.010000, Train Loss: 0.939222, Val Loss: 0.864728, Train Acc: 65.68, Val Acc: 69.00, Val Balanced Acc: 0.38
[2019-06-14 18:15:26] Epoch 15, LR: 0.010000, Train Loss: 0.935179, Val Loss: 0.923444, Train Acc: 65.71, Val Acc: 67.82, Val Balanced Acc: 0.37
[2019-06-14 18:25:30] Epoch 16, LR: 0.010000, Train Loss: 0.938967, Val Loss: 0.876895, Train Acc: 65.58, Val Acc: 68.50, Val Balanced Acc: 0.40
[2019-06-14 18:35:34] Epoch 17, LR: 0.010000, Train Loss: 0.925207, Val Loss: 0.858781, Train Acc: 66.24, Val Acc: 69.32, Val Balanced Acc: 0.43
[2019-06-14 18:45:39] Epoch 18, LR: 0.010000, Train Loss: 0.921212, Val Loss: 0.855704, Train Acc: 66.44, Val Acc: 69.13, Val Balanced Acc: 0.41
[2019-06-14 18:55:44] Epoch 19, LR: 0.010000, Train Loss: 0.923970, Val Loss: 0.846568, Train Acc: 65.99, Val Acc: 69.32, Val Balanced Acc: 0.41
[2019-06-14 19:05:49] Epoch 20, LR: 0.010000, Train Loss: 0.908132, Val Loss: 0.827563, Train Acc: 66.71, Val Acc: 69.97, Val Balanced Acc: 0.41
[2019-06-14 19:15:54] Epoch 21, LR: 0.010000, Train Loss: 0.909977, Val Loss: 0.852525, Train Acc: 66.63, Val Acc: 68.42, Val Balanced Acc: 0.47
[2019-06-14 19:25:57] Epoch 22, LR: 0.010000, Train Loss: 0.908191, Val Loss: 0.848368, Train Acc: 66.59, Val Acc: 70.37, Val Balanced Acc: 0.45
[2019-06-14 19:36:03] Epoch 23, LR: 0.010000, Train Loss: 0.905378, Val Loss: 0.892502, Train Acc: 66.84, Val Acc: 68.11, Val Balanced Acc: 0.38
[2019-06-14 19:46:09] Epoch 24, LR: 0.010000, Train Loss: 0.902688, Val Loss: 0.835450, Train Acc: 67.05, Val Acc: 69.61, Val Balanced Acc: 0.45
[2019-06-14 19:56:14] Epoch 25, LR: 0.010000, Train Loss: 0.898586, Val Loss: 0.817545, Train Acc: 67.04, Val Acc: 70.89, Val Balanced Acc: 0.47
[2019-06-14 20:06:19] Epoch 26, LR: 0.010000, Train Loss: 0.903549, Val Loss: 0.885339, Train Acc: 66.96, Val Acc: 68.89, Val Balanced Acc: 0.49
[2019-06-14 20:16:23] Epoch 27, LR: 0.010000, Train Loss: 0.898712, Val Loss: 0.852139, Train Acc: 66.94, Val Acc: 70.29, Val Balanced Acc: 0.48
[2019-06-14 20:26:27] Epoch 28, LR: 0.010000, Train Loss: 0.903632, Val Loss: 0.841067, Train Acc: 66.99, Val Acc: 70.00, Val Balanced Acc: 0.40
[2019-06-14 20:36:32] Epoch 29, LR: 0.010000, Train Loss: 0.892221, Val Loss: 0.823108, Train Acc: 67.23, Val Acc: 69.84, Val Balanced Acc: 0.48
[2019-06-14 20:46:36] Epoch 30, LR: 0.010000, Train Loss: 0.893197, Val Loss: 0.818993, Train Acc: 67.28, Val Acc: 69.74, Val Balanced Acc: 0.44
[2019-06-14 20:56:34] Epoch 31, LR: 0.010000, Train Loss: 0.889869, Val Loss: 0.857850, Train Acc: 67.18, Val Acc: 69.47, Val Balanced Acc: 0.43
