results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_CustomDA/
Data loaded!

8 Classes detected!
depth_coefficient: 1.0
output_dir: results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_CustomDA/
balanced_sampler: False
batch_size: 32
width_coefficient: 1.0
compound_coefficient: 1.0
model_name: efficientnet
verbose: False
optimizer: sgd
learning_rate: 0.01
img_size: 256
path_extension: steplr_phase2_CustomDA
crop_size: 224
resolution_coefficient: 1.0
data_augmentation: True
epochs: 300

---- Start Training ----
[2019-06-14 12:04:47] Epoch 1, LR: 0.010000, Train Loss: 1.235640, Val Loss: 1.145057, Train Acc: 55.77, Val Acc: 60.13, Val Balanced Acc: 0.24
[2019-06-14 12:13:48] Epoch 2, LR: 0.010000, Train Loss: 1.133346, Val Loss: 1.070730, Train Acc: 59.15, Val Acc: 61.84, Val Balanced Acc: 0.23
[2019-06-14 12:22:48] Epoch 3, LR: 0.010000, Train Loss: 1.088897, Val Loss: 1.020772, Train Acc: 60.53, Val Acc: 63.95, Val Balanced Acc: 0.33
[2019-06-14 12:31:48] Epoch 4, LR: 0.010000, Train Loss: 1.045082, Val Loss: 1.018376, Train Acc: 62.12, Val Acc: 63.50, Val Balanced Acc: 0.30
[2019-06-14 12:40:48] Epoch 5, LR: 0.010000, Train Loss: 1.020950, Val Loss: 0.975748, Train Acc: 62.86, Val Acc: 63.82, Val Balanced Acc: 0.35
[2019-06-14 12:49:48] Epoch 6, LR: 0.010000, Train Loss: 1.001580, Val Loss: 0.909294, Train Acc: 63.49, Val Acc: 66.97, Val Balanced Acc: 0.38
[2019-06-14 12:58:48] Epoch 7, LR: 0.010000, Train Loss: 0.981414, Val Loss: 0.934158, Train Acc: 64.20, Val Acc: 67.00, Val Balanced Acc: 0.37
[2019-06-14 13:07:48] Epoch 8, LR: 0.010000, Train Loss: 0.967058, Val Loss: 0.908331, Train Acc: 64.79, Val Acc: 66.55, Val Balanced Acc: 0.38
[2019-06-14 13:16:48] Epoch 9, LR: 0.010000, Train Loss: 0.955168, Val Loss: 0.894971, Train Acc: 65.23, Val Acc: 68.16, Val Balanced Acc: 0.39
[2019-06-14 13:25:49] Epoch 10, LR: 0.010000, Train Loss: 0.945709, Val Loss: 0.863519, Train Acc: 65.68, Val Acc: 69.34, Val Balanced Acc: 0.41
[2019-06-14 13:34:49] Epoch 11, LR: 0.010000, Train Loss: 0.939930, Val Loss: 0.859585, Train Acc: 65.53, Val Acc: 68.47, Val Balanced Acc: 0.42
[2019-06-14 13:43:49] Epoch 12, LR: 0.010000, Train Loss: 0.927343, Val Loss: 0.919697, Train Acc: 65.95, Val Acc: 67.87, Val Balanced Acc: 0.42
[2019-06-14 13:52:49] Epoch 13, LR: 0.010000, Train Loss: 0.917782, Val Loss: 0.834100, Train Acc: 66.30, Val Acc: 70.32, Val Balanced Acc: 0.45
[2019-06-14 14:01:49] Epoch 14, LR: 0.010000, Train Loss: 0.909675, Val Loss: 0.848782, Train Acc: 66.63, Val Acc: 70.42, Val Balanced Acc: 0.44
[2019-06-14 14:10:49] Epoch 15, LR: 0.010000, Train Loss: 0.902351, Val Loss: 0.837795, Train Acc: 67.02, Val Acc: 70.13, Val Balanced Acc: 0.46
[2019-06-14 14:19:48] Epoch 16, LR: 0.010000, Train Loss: 0.904724, Val Loss: 0.868093, Train Acc: 66.63, Val Acc: 68.63, Val Balanced Acc: 0.42
[2019-06-14 14:28:48] Epoch 17, LR: 0.010000, Train Loss: 0.892740, Val Loss: 0.873835, Train Acc: 67.31, Val Acc: 68.37, Val Balanced Acc: 0.44
[2019-06-14 14:37:48] Epoch 18, LR: 0.010000, Train Loss: 0.891733, Val Loss: 0.840676, Train Acc: 67.28, Val Acc: 70.13, Val Balanced Acc: 0.48
[2019-06-14 14:46:49] Epoch 19, LR: 0.010000, Train Loss: 0.877707, Val Loss: 0.862423, Train Acc: 67.46, Val Acc: 69.55, Val Balanced Acc: 0.47
[2019-06-14 14:55:50] Epoch 20, LR: 0.010000, Train Loss: 0.886435, Val Loss: 0.819937, Train Acc: 67.50, Val Acc: 70.00, Val Balanced Acc: 0.44
[2019-06-14 15:04:50] Epoch 21, LR: 0.010000, Train Loss: 0.875133, Val Loss: 0.889428, Train Acc: 67.89, Val Acc: 69.16, Val Balanced Acc: 0.47
[2019-06-14 15:13:51] Epoch 22, LR: 0.010000, Train Loss: 0.875043, Val Loss: 0.815847, Train Acc: 67.89, Val Acc: 71.03, Val Balanced Acc: 0.49
[2019-06-14 15:22:51] Epoch 23, LR: 0.010000, Train Loss: 0.865268, Val Loss: 0.832908, Train Acc: 68.12, Val Acc: 70.16, Val Balanced Acc: 0.45
[2019-06-14 15:31:51] Epoch 24, LR: 0.010000, Train Loss: 0.871723, Val Loss: 0.825546, Train Acc: 67.92, Val Acc: 70.34, Val Balanced Acc: 0.43
[2019-06-14 15:40:50] Epoch 25, LR: 0.010000, Train Loss: 0.865997, Val Loss: 0.829418, Train Acc: 68.23, Val Acc: 70.05, Val Balanced Acc: 0.44
[2019-06-14 15:49:50] Epoch 26, LR: 0.010000, Train Loss: 0.861854, Val Loss: 0.826119, Train Acc: 68.50, Val Acc: 70.32, Val Balanced Acc: 0.53
[2019-06-14 15:58:50] Epoch 27, LR: 0.010000, Train Loss: 0.858671, Val Loss: 0.818292, Train Acc: 68.40, Val Acc: 71.08, Val Balanced Acc: 0.48
[2019-06-14 16:07:49] Epoch 28, LR: 0.010000, Train Loss: 0.859324, Val Loss: 0.864796, Train Acc: 68.19, Val Acc: 69.45, Val Balanced Acc: 0.47
[2019-06-14 16:16:50] Epoch 29, LR: 0.010000, Train Loss: 0.854652, Val Loss: 0.835019, Train Acc: 68.78, Val Acc: 69.92, Val Balanced Acc: 0.49
[2019-06-14 16:25:51] Epoch 30, LR: 0.010000, Train Loss: 0.854772, Val Loss: 0.798401, Train Acc: 68.41, Val Acc: 71.42, Val Balanced Acc: 0.51
[2019-06-14 16:34:52] Epoch 31, LR: 0.010000, Train Loss: 0.850751, Val Loss: 0.811185, Train Acc: 69.05, Val Acc: 70.66, Val Balanced Acc: 0.49
[2019-06-14 16:43:53] Epoch 32, LR: 0.010000, Train Loss: 0.851970, Val Loss: 0.873512, Train Acc: 68.64, Val Acc: 68.05, Val Balanced Acc: 0.51
