results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_Retinex/
Data loaded!

8 Classes detected!
freezed_epochs: 0
balanced_sampler: False
output_dir: results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_Retinex/
shade_of_gray: False
compound_coefficient: 1.0
depth_coefficient: 1.0
img_size: 256
width_coefficient: 1.0
data_augmentation: True
path_extension: steplr_phase2_Retinex
model_name: efficientnet
pretrained_imagenet: False
optimizer: sgd
verbose: False
snapshot: 1
epochs: 300
retinex: True
batch_size: 32
learning_rate: 0.01
crop_size: 224
resolution_coefficient: 1.0

---- Start Training ----
[2019-07-11 11:07:19] Epoch 1, LR: 0.010000, Train Loss: 1.244577, Val Loss: 1.102401, Train Acc: 55.53, Val Acc: 59.68, Val Balanced Acc: 0.26
[2019-07-11 11:14:31] Epoch 2, LR: 0.010000, Train Loss: 1.144858, Val Loss: 1.032914, Train Acc: 58.81, Val Acc: 62.45, Val Balanced Acc: 0.27
[2019-07-11 11:21:39] Epoch 3, LR: 0.010000, Train Loss: 1.112869, Val Loss: 1.010980, Train Acc: 59.71, Val Acc: 63.00, Val Balanced Acc: 0.29
[2019-07-11 11:28:49] Epoch 4, LR: 0.010000, Train Loss: 1.083615, Val Loss: 1.001419, Train Acc: 60.87, Val Acc: 65.16, Val Balanced Acc: 0.32
[2019-07-11 11:35:58] Epoch 5, LR: 0.010000, Train Loss: 1.058937, Val Loss: 0.966594, Train Acc: 61.73, Val Acc: 66.05, Val Balanced Acc: 0.35
[2019-07-11 11:43:08] Epoch 6, LR: 0.010000, Train Loss: 1.034795, Val Loss: 0.950197, Train Acc: 62.76, Val Acc: 65.97, Val Balanced Acc: 0.36
[2019-07-11 11:50:18] Epoch 7, LR: 0.010000, Train Loss: 1.015761, Val Loss: 0.959210, Train Acc: 63.42, Val Acc: 66.00, Val Balanced Acc: 0.35
[2019-07-11 11:57:28] Epoch 8, LR: 0.010000, Train Loss: 0.999405, Val Loss: 0.926068, Train Acc: 63.66, Val Acc: 67.37, Val Balanced Acc: 0.40
[2019-07-11 12:04:37] Epoch 9, LR: 0.010000, Train Loss: 0.981771, Val Loss: 0.905016, Train Acc: 64.34, Val Acc: 67.97, Val Balanced Acc: 0.36
[2019-07-11 12:11:47] Epoch 10, LR: 0.010000, Train Loss: 0.978866, Val Loss: 0.920195, Train Acc: 64.77, Val Acc: 67.34, Val Balanced Acc: 0.40
[2019-07-11 12:18:58] Epoch 11, LR: 0.010000, Train Loss: 0.967827, Val Loss: 0.895796, Train Acc: 64.86, Val Acc: 68.39, Val Balanced Acc: 0.38
[2019-07-11 12:26:08] Epoch 12, LR: 0.010000, Train Loss: 0.956249, Val Loss: 0.924000, Train Acc: 65.25, Val Acc: 67.76, Val Balanced Acc: 0.39
[2019-07-11 12:33:17] Epoch 13, LR: 0.010000, Train Loss: 0.954630, Val Loss: 0.863191, Train Acc: 65.27, Val Acc: 68.74, Val Balanced Acc: 0.41
[2019-07-11 12:40:28] Epoch 14, LR: 0.010000, Train Loss: 0.948321, Val Loss: 0.891767, Train Acc: 65.55, Val Acc: 68.21, Val Balanced Acc: 0.40
[2019-07-11 12:47:36] Epoch 15, LR: 0.010000, Train Loss: 0.936863, Val Loss: 0.880374, Train Acc: 66.12, Val Acc: 68.47, Val Balanced Acc: 0.38
