results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_SHadeOfGrayNoCOlorTransform/
Data loaded!

8 Classes detected!
compound_coefficient: 1.0
retinex: False
optimizer: sgd
verbose: False
freezed_epochs: 0
model_name: efficientnet
depth_coefficient: 1.0
snapshot: 1
path_extension: steplr_phase2_SHadeOfGrayNoCOlorTransform
crop_size: 224
data_augmentation: True
balanced_sampler: False
output_dir: results/efficientnet_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_SHadeOfGrayNoCOlorTransform/
colornet: False
img_size: 248
resolution_coefficient: 1.0
pretrained_imagenet: False
shade_of_gray: True
learning_rate: 0.01
width_coefficient: 1.0
batch_size: 32
epochs: 400

---- Start Training ----
[2019-07-12 21:31:53] Epoch 1, LR: 0.010000, Train Loss: 1.204368, Val Loss: 1.095166, Train Acc: 56.69, Val Acc: 60.39, Val Balanced Acc: 0.27
[2019-07-12 21:43:02] Epoch 2, LR: 0.010000, Train Loss: 1.102842, Val Loss: 1.121959, Train Acc: 59.79, Val Acc: 59.66, Val Balanced Acc: 0.30
[2019-07-12 21:53:56] Epoch 3, LR: 0.010000, Train Loss: 1.062176, Val Loss: 1.105908, Train Acc: 61.63, Val Acc: 61.63, Val Balanced Acc: 0.29
[2019-07-12 22:04:48] Epoch 4, LR: 0.010000, Train Loss: 1.037455, Val Loss: 1.032258, Train Acc: 62.40, Val Acc: 63.21, Val Balanced Acc: 0.31
[2019-07-12 22:15:41] Epoch 5, LR: 0.010000, Train Loss: 1.010792, Val Loss: 0.990174, Train Acc: 63.02, Val Acc: 63.11, Val Balanced Acc: 0.35
[2019-07-12 22:26:34] Epoch 6, LR: 0.010000, Train Loss: 0.994086, Val Loss: 2.268858, Train Acc: 63.77, Val Acc: 41.05, Val Balanced Acc: 0.26
[2019-07-12 22:37:28] Epoch 7, LR: 0.010000, Train Loss: 0.976488, Val Loss: 1.201017, Train Acc: 64.45, Val Acc: 60.11, Val Balanced Acc: 0.24
[2019-07-12 22:48:20] Epoch 8, LR: 0.010000, Train Loss: 0.961670, Val Loss: 0.934727, Train Acc: 64.96, Val Acc: 65.37, Val Balanced Acc: 0.34
[2019-07-12 22:59:14] Epoch 9, LR: 0.010000, Train Loss: 0.943775, Val Loss: 0.911880, Train Acc: 65.57, Val Acc: 67.39, Val Balanced Acc: 0.44
[2019-07-12 23:10:07] Epoch 10, LR: 0.010000, Train Loss: 0.932682, Val Loss: 0.865826, Train Acc: 65.84, Val Acc: 68.21, Val Balanced Acc: 0.42
[2019-07-12 23:20:59] Epoch 11, LR: 0.010000, Train Loss: 0.919760, Val Loss: 0.935301, Train Acc: 66.48, Val Acc: 66.26, Val Balanced Acc: 0.38
[2019-07-12 23:31:51] Epoch 12, LR: 0.010000, Train Loss: 0.910286, Val Loss: 1.025032, Train Acc: 66.80, Val Acc: 63.13, Val Balanced Acc: 0.29
[2019-07-12 23:42:44] Epoch 13, LR: 0.010000, Train Loss: 0.897657, Val Loss: 0.888866, Train Acc: 67.07, Val Acc: 68.21, Val Balanced Acc: 0.46
[2019-07-12 23:53:36] Epoch 14, LR: 0.010000, Train Loss: 0.892462, Val Loss: 1.121491, Train Acc: 67.43, Val Acc: 60.74, Val Balanced Acc: 0.34
[2019-07-13 00:04:30] Epoch 15, LR: 0.010000, Train Loss: 0.889322, Val Loss: 0.843620, Train Acc: 67.64, Val Acc: 69.58, Val Balanced Acc: 0.47
[2019-07-13 00:15:24] Epoch 16, LR: 0.010000, Train Loss: 0.875465, Val Loss: 0.902714, Train Acc: 67.90, Val Acc: 67.71, Val Balanced Acc: 0.46
[2019-07-13 00:26:18] Epoch 17, LR: 0.010000, Train Loss: 0.875128, Val Loss: 0.861874, Train Acc: 67.93, Val Acc: 68.53, Val Balanced Acc: 0.45
[2019-07-13 00:37:10] Epoch 18, LR: 0.010000, Train Loss: 0.864544, Val Loss: 0.833576, Train Acc: 68.14, Val Acc: 69.13, Val Balanced Acc: 0.44
[2019-07-13 00:48:02] Epoch 19, LR: 0.010000, Train Loss: 0.863712, Val Loss: 0.879337, Train Acc: 68.35, Val Acc: 67.79, Val Balanced Acc: 0.48
[2019-07-13 00:58:56] Epoch 20, LR: 0.010000, Train Loss: 0.859831, Val Loss: 0.863515, Train Acc: 68.29, Val Acc: 68.50, Val Balanced Acc: 0.42
[2019-07-13 01:09:47] Epoch 21, LR: 0.010000, Train Loss: 0.856702, Val Loss: 0.826280, Train Acc: 68.70, Val Acc: 70.11, Val Balanced Acc: 0.47
[2019-07-13 01:20:39] Epoch 22, LR: 0.010000, Train Loss: 0.848945, Val Loss: 0.802281, Train Acc: 69.15, Val Acc: 69.97, Val Balanced Acc: 0.47
[2019-07-13 01:31:32] Epoch 23, LR: 0.010000, Train Loss: 0.847863, Val Loss: 0.838039, Train Acc: 68.58, Val Acc: 70.37, Val Balanced Acc: 0.47
[2019-07-13 01:42:24] Epoch 24, LR: 0.010000, Train Loss: 0.848640, Val Loss: 0.979728, Train Acc: 68.78, Val Acc: 64.50, Val Balanced Acc: 0.35
[2019-07-13 01:53:16] Epoch 25, LR: 0.010000, Train Loss: 0.844970, Val Loss: 0.933279, Train Acc: 69.20, Val Acc: 67.16, Val Balanced Acc: 0.43
[2019-07-13 02:04:09] Epoch 26, LR: 0.010000, Train Loss: 0.836277, Val Loss: 0.862224, Train Acc: 69.11, Val Acc: 68.21, Val Balanced Acc: 0.43
[2019-07-13 02:15:02] Epoch 27, LR: 0.010000, Train Loss: 0.839008, Val Loss: 0.874462, Train Acc: 69.03, Val Acc: 68.00, Val Balanced Acc: 0.42
[2019-07-13 02:25:56] Epoch 28, LR: 0.010000, Train Loss: 0.839979, Val Loss: 1.120296, Train Acc: 69.13, Val Acc: 61.37, Val Balanced Acc: 0.36
[2019-07-13 02:36:50] Epoch 29, LR: 0.010000, Train Loss: 0.832013, Val Loss: 0.854532, Train Acc: 69.43, Val Acc: 68.87, Val Balanced Acc: 0.44
[2019-07-13 02:47:42] Epoch 30, LR: 0.010000, Train Loss: 0.826705, Val Loss: 0.897336, Train Acc: 69.76, Val Acc: 68.63, Val Balanced Acc: 0.45
[2019-07-13 02:58:35] Epoch 31, LR: 0.010000, Train Loss: 0.830619, Val Loss: 0.914979, Train Acc: 69.53, Val Acc: 68.63, Val Balanced Acc: 0.48
[2019-07-13 03:09:29] Epoch 32, LR: 0.010000, Train Loss: 0.827829, Val Loss: 0.921244, Train Acc: 69.55, Val Acc: 67.11, Val Balanced Acc: 0.33
[2019-07-13 03:20:20] Epoch 33, LR: 0.010000, Train Loss: 0.826060, Val Loss: 0.828883, Train Acc: 69.68, Val Acc: 69.87, Val Balanced Acc: 0.44
[2019-07-13 03:31:12] Epoch 34, LR: 0.010000, Train Loss: 0.826932, Val Loss: 0.867057, Train Acc: 69.69, Val Acc: 68.74, Val Balanced Acc: 0.45
[2019-07-13 03:42:06] Epoch 35, LR: 0.010000, Train Loss: 0.821539, Val Loss: 1.245897, Train Acc: 69.41, Val Acc: 62.58, Val Balanced Acc: 0.27
[2019-07-13 03:52:59] Epoch 36, LR: 0.010000, Train Loss: 0.824526, Val Loss: 0.946552, Train Acc: 69.31, Val Acc: 66.34, Val Balanced Acc: 0.44
[2019-07-13 04:03:52] Epoch 37, LR: 0.010000, Train Loss: 0.818447, Val Loss: 1.182858, Train Acc: 69.82, Val Acc: 60.18, Val Balanced Acc: 0.37
[2019-07-13 04:14:45] Epoch 38, LR: 0.010000, Train Loss: 0.821486, Val Loss: 0.909575, Train Acc: 69.57, Val Acc: 67.16, Val Balanced Acc: 0.42
[2019-07-13 04:25:38] Epoch 39, LR: 0.010000, Train Loss: 0.819124, Val Loss: 0.933767, Train Acc: 69.86, Val Acc: 66.76, Val Balanced Acc: 0.42
[2019-07-13 04:36:32] Epoch 40, LR: 0.010000, Train Loss: 0.816180, Val Loss: 1.009749, Train Acc: 69.89, Val Acc: 65.76, Val Balanced Acc: 0.43
[2019-07-13 04:47:25] Epoch 41, LR: 0.010000, Train Loss: 0.813545, Val Loss: 0.902423, Train Acc: 70.01, Val Acc: 66.71, Val Balanced Acc: 0.48
[2019-07-13 04:58:17] Epoch 42, LR: 0.010000, Train Loss: 0.816341, Val Loss: 0.823312, Train Acc: 70.05, Val Acc: 70.00, Val Balanced Acc: 0.42
[2019-07-13 05:09:10] Epoch 43, LR: 0.010000, Train Loss: 0.814114, Val Loss: 0.972793, Train Acc: 70.11, Val Acc: 65.03, Val Balanced Acc: 0.34
[2019-07-13 05:20:03] Epoch 44, LR: 0.010000, Train Loss: 0.814255, Val Loss: 0.794712, Train Acc: 69.81, Val Acc: 71.58, Val Balanced Acc: 0.50
[2019-07-13 05:30:55] Epoch 45, LR: 0.010000, Train Loss: 0.808608, Val Loss: 0.910095, Train Acc: 70.35, Val Acc: 67.76, Val Balanced Acc: 0.42
[2019-07-13 05:41:49] Epoch 46, LR: 0.010000, Train Loss: 0.811460, Val Loss: 0.870132, Train Acc: 70.41, Val Acc: 68.39, Val Balanced Acc: 0.56
[2019-07-13 05:52:40] Epoch 47, LR: 0.010000, Train Loss: 0.805598, Val Loss: 0.836110, Train Acc: 70.23, Val Acc: 70.13, Val Balanced Acc: 0.48
[2019-07-13 06:03:32] Epoch 48, LR: 0.010000, Train Loss: 0.814338, Val Loss: 0.866523, Train Acc: 69.80, Val Acc: 68.71, Val Balanced Acc: 0.46
[2019-07-13 06:14:25] Epoch 49, LR: 0.010000, Train Loss: 0.804763, Val Loss: 0.992825, Train Acc: 70.03, Val Acc: 64.37, Val Balanced Acc: 0.36
[2019-07-13 06:25:22] Epoch 50, LR: 0.010000, Train Loss: 0.808473, Val Loss: 0.898581, Train Acc: 70.37, Val Acc: 68.95, Val Balanced Acc: 0.40
[2019-07-13 06:36:15] Epoch 51, LR: 0.010000, Train Loss: 0.799624, Val Loss: 1.050991, Train Acc: 70.66, Val Acc: 61.24, Val Balanced Acc: 0.31
[2019-07-13 06:47:06] Epoch 52, LR: 0.010000, Train Loss: 0.806144, Val Loss: 0.904506, Train Acc: 70.26, Val Acc: 68.84, Val Balanced Acc: 0.47
[2019-07-13 06:57:58] Epoch 53, LR: 0.010000, Train Loss: 0.804074, Val Loss: 0.803721, Train Acc: 70.35, Val Acc: 70.74, Val Balanced Acc: 0.51
[2019-07-13 07:08:52] Epoch 54, LR: 0.010000, Train Loss: 0.803120, Val Loss: 0.799935, Train Acc: 70.55, Val Acc: 71.29, Val Balanced Acc: 0.54
[2019-07-13 07:19:45] Epoch 55, LR: 0.010000, Train Loss: 0.799707, Val Loss: 0.837895, Train Acc: 70.63, Val Acc: 70.39, Val Balanced Acc: 0.50
[2019-07-13 07:30:37] Epoch 56, LR: 0.010000, Train Loss: 0.798414, Val Loss: 0.820434, Train Acc: 70.51, Val Acc: 69.18, Val Balanced Acc: 0.46
[2019-07-13 07:41:29] Epoch 57, LR: 0.010000, Train Loss: 0.802783, Val Loss: 0.865551, Train Acc: 70.75, Val Acc: 68.58, Val Balanced Acc: 0.51
[2019-07-13 07:52:21] Epoch 58, LR: 0.010000, Train Loss: 0.793840, Val Loss: 0.785676, Train Acc: 70.69, Val Acc: 71.50, Val Balanced Acc: 0.52
[2019-07-13 08:03:13] Epoch 59, LR: 0.010000, Train Loss: 0.794408, Val Loss: 0.866888, Train Acc: 70.70, Val Acc: 69.24, Val Balanced Acc: 0.46
[2019-07-13 08:14:07] Epoch 60, LR: 0.010000, Train Loss: 0.798197, Val Loss: 1.071385, Train Acc: 70.66, Val Acc: 62.50, Val Balanced Acc: 0.48
[2019-07-13 08:25:00] Epoch 61, LR: 0.010000, Train Loss: 0.790294, Val Loss: 0.848694, Train Acc: 70.77, Val Acc: 69.95, Val Balanced Acc: 0.45
[2019-07-13 08:35:55] Epoch 62, LR: 0.010000, Train Loss: 0.795080, Val Loss: 0.845685, Train Acc: 70.92, Val Acc: 69.39, Val Balanced Acc: 0.53
[2019-07-13 08:46:47] Epoch 63, LR: 0.010000, Train Loss: 0.793286, Val Loss: 0.769307, Train Acc: 70.73, Val Acc: 71.66, Val Balanced Acc: 0.57
[2019-07-13 08:57:41] Epoch 64, LR: 0.010000, Train Loss: 0.791574, Val Loss: 0.893973, Train Acc: 70.72, Val Acc: 67.50, Val Balanced Acc: 0.44
[2019-07-13 09:08:37] Epoch 65, LR: 0.010000, Train Loss: 0.786799, Val Loss: 0.795016, Train Acc: 70.89, Val Acc: 71.42, Val Balanced Acc: 0.53
[2019-07-13 09:19:31] Epoch 66, LR: 0.010000, Train Loss: 0.789882, Val Loss: 0.844913, Train Acc: 70.88, Val Acc: 70.11, Val Balanced Acc: 0.45
[2019-07-13 09:30:26] Epoch 67, LR: 0.010000, Train Loss: 0.787955, Val Loss: 0.953577, Train Acc: 70.90, Val Acc: 67.39, Val Balanced Acc: 0.41
[2019-07-13 09:41:20] Epoch 68, LR: 0.010000, Train Loss: 0.783349, Val Loss: 0.816644, Train Acc: 70.97, Val Acc: 70.37, Val Balanced Acc: 0.50
[2019-07-13 09:52:12] Epoch 69, LR: 0.010000, Train Loss: 0.787876, Val Loss: 0.802470, Train Acc: 70.95, Val Acc: 70.82, Val Balanced Acc: 0.47
[2019-07-13 10:03:07] Epoch 70, LR: 0.010000, Train Loss: 0.787916, Val Loss: 0.770126, Train Acc: 71.23, Val Acc: 72.47, Val Balanced Acc: 0.54
[2019-07-13 10:14:02] Epoch 71, LR: 0.010000, Train Loss: 0.785760, Val Loss: 0.778015, Train Acc: 70.86, Val Acc: 71.84, Val Balanced Acc: 0.51
[2019-07-13 10:24:55] Epoch 72, LR: 0.010000, Train Loss: 0.784953, Val Loss: 0.815175, Train Acc: 71.11, Val Acc: 71.21, Val Balanced Acc: 0.52
[2019-07-13 10:35:48] Epoch 73, LR: 0.010000, Train Loss: 0.781496, Val Loss: 0.854836, Train Acc: 71.26, Val Acc: 69.05, Val Balanced Acc: 0.47
[2019-07-13 10:46:42] Epoch 74, LR: 0.010000, Train Loss: 0.782167, Val Loss: 0.969156, Train Acc: 71.12, Val Acc: 65.79, Val Balanced Acc: 0.40
[2019-07-13 10:57:35] Epoch 75, LR: 0.010000, Train Loss: 0.781922, Val Loss: 0.904671, Train Acc: 71.37, Val Acc: 68.08, Val Balanced Acc: 0.45
[2019-07-13 11:08:28] Epoch 76, LR: 0.010000, Train Loss: 0.779362, Val Loss: 1.051028, Train Acc: 71.37, Val Acc: 64.39, Val Balanced Acc: 0.34
[2019-07-13 11:19:20] Epoch 77, LR: 0.010000, Train Loss: 0.782865, Val Loss: 0.857384, Train Acc: 71.24, Val Acc: 69.11, Val Balanced Acc: 0.44
[2019-07-13 11:30:14] Epoch 78, LR: 0.010000, Train Loss: 0.778393, Val Loss: 0.970917, Train Acc: 71.59, Val Acc: 66.05, Val Balanced Acc: 0.40
[2019-07-13 11:41:08] Epoch 79, LR: 0.010000, Train Loss: 0.773933, Val Loss: 0.909911, Train Acc: 71.54, Val Acc: 68.05, Val Balanced Acc: 0.45
[2019-07-13 11:52:02] Epoch 80, LR: 0.010000, Train Loss: 0.776491, Val Loss: 0.950875, Train Acc: 71.39, Val Acc: 64.00, Val Balanced Acc: 0.36
[2019-07-13 12:02:56] Epoch 81, LR: 0.010000, Train Loss: 0.777686, Val Loss: 0.882182, Train Acc: 71.25, Val Acc: 68.97, Val Balanced Acc: 0.49
[2019-07-13 12:13:49] Epoch 82, LR: 0.010000, Train Loss: 0.771465, Val Loss: 0.784612, Train Acc: 71.77, Val Acc: 71.37, Val Balanced Acc: 0.53
[2019-07-13 12:24:43] Epoch 83, LR: 0.010000, Train Loss: 0.769648, Val Loss: 0.791872, Train Acc: 71.82, Val Acc: 71.21, Val Balanced Acc: 0.53
[2019-07-13 12:35:35] Epoch 84, LR: 0.010000, Train Loss: 0.771008, Val Loss: 0.890489, Train Acc: 71.58, Val Acc: 68.16, Val Balanced Acc: 0.44
[2019-07-13 12:46:30] Epoch 85, LR: 0.010000, Train Loss: 0.770170, Val Loss: 0.960104, Train Acc: 71.57, Val Acc: 66.37, Val Balanced Acc: 0.42
[2019-07-13 12:57:22] Epoch 86, LR: 0.010000, Train Loss: 0.772384, Val Loss: 0.873771, Train Acc: 71.59, Val Acc: 69.76, Val Balanced Acc: 0.50
[2019-07-13 13:08:17] Epoch 87, LR: 0.010000, Train Loss: 0.773060, Val Loss: 0.932886, Train Acc: 71.37, Val Acc: 66.47, Val Balanced Acc: 0.47
[2019-07-13 13:19:10] Epoch 88, LR: 0.010000, Train Loss: 0.762794, Val Loss: 0.815391, Train Acc: 71.84, Val Acc: 71.13, Val Balanced Acc: 0.56
[2019-07-13 13:30:04] Epoch 89, LR: 0.010000, Train Loss: 0.770132, Val Loss: 0.777302, Train Acc: 71.55, Val Acc: 72.03, Val Balanced Acc: 0.51
[2019-07-13 13:40:58] Epoch 90, LR: 0.010000, Train Loss: 0.762391, Val Loss: 0.851778, Train Acc: 71.73, Val Acc: 69.89, Val Balanced Acc: 0.47
[2019-07-13 13:51:51] Epoch 91, LR: 0.010000, Train Loss: 0.764294, Val Loss: 0.895427, Train Acc: 71.76, Val Acc: 67.47, Val Balanced Acc: 0.47
[2019-07-13 14:02:46] Epoch 92, LR: 0.010000, Train Loss: 0.762090, Val Loss: 0.844658, Train Acc: 71.75, Val Acc: 69.47, Val Balanced Acc: 0.44
[2019-07-13 14:13:39] Epoch 93, LR: 0.010000, Train Loss: 0.767987, Val Loss: 0.952347, Train Acc: 71.66, Val Acc: 66.87, Val Balanced Acc: 0.45
[2019-07-13 14:24:31] Epoch 94, LR: 0.010000, Train Loss: 0.765432, Val Loss: 0.899864, Train Acc: 71.84, Val Acc: 69.34, Val Balanced Acc: 0.60
[2019-07-13 14:35:25] Epoch 95, LR: 0.010000, Train Loss: 0.757455, Val Loss: 1.017719, Train Acc: 72.03, Val Acc: 64.95, Val Balanced Acc: 0.46
[2019-07-13 14:46:17] Epoch 96, LR: 0.010000, Train Loss: 0.761209, Val Loss: 1.299406, Train Acc: 72.02, Val Acc: 57.39, Val Balanced Acc: 0.24
[2019-07-13 14:57:10] Epoch 97, LR: 0.010000, Train Loss: 0.761682, Val Loss: 0.862934, Train Acc: 72.10, Val Acc: 69.29, Val Balanced Acc: 0.48
[2019-07-13 15:08:05] Epoch 98, LR: 0.010000, Train Loss: 0.766546, Val Loss: 0.828627, Train Acc: 71.97, Val Acc: 70.92, Val Balanced Acc: 0.62
[2019-07-13 15:18:59] Epoch 99, LR: 0.010000, Train Loss: 0.755669, Val Loss: 0.863870, Train Acc: 72.14, Val Acc: 68.76, Val Balanced Acc: 0.47
[2019-07-13 15:29:53] Epoch 100, LR: 0.010000, Train Loss: 0.761917, Val Loss: 0.810020, Train Acc: 71.97, Val Acc: 69.76, Val Balanced Acc: 0.50
[2019-07-13 15:40:45] Epoch 101, LR: 0.010000, Train Loss: 0.758247, Val Loss: 0.819519, Train Acc: 71.98, Val Acc: 70.13, Val Balanced Acc: 0.49
[2019-07-13 15:51:40] Epoch 102, LR: 0.010000, Train Loss: 0.759259, Val Loss: 0.904634, Train Acc: 72.02, Val Acc: 68.55, Val Balanced Acc: 0.53
[2019-07-13 16:02:35] Epoch 103, LR: 0.010000, Train Loss: 0.757505, Val Loss: 0.810439, Train Acc: 72.07, Val Acc: 71.00, Val Balanced Acc: 0.49
[2019-07-13 16:13:30] Epoch 104, LR: 0.010000, Train Loss: 0.755632, Val Loss: 0.886410, Train Acc: 71.78, Val Acc: 68.50, Val Balanced Acc: 0.51
[2019-07-13 16:24:24] Epoch 105, LR: 0.010000, Train Loss: 0.755213, Val Loss: 0.868851, Train Acc: 71.94, Val Acc: 68.42, Val Balanced Acc: 0.50
[2019-07-13 16:35:17] Epoch 106, LR: 0.010000, Train Loss: 0.754997, Val Loss: 1.130865, Train Acc: 72.03, Val Acc: 62.79, Val Balanced Acc: 0.38
[2019-07-13 16:46:10] Epoch 107, LR: 0.010000, Train Loss: 0.751824, Val Loss: 0.982625, Train Acc: 72.38, Val Acc: 64.24, Val Balanced Acc: 0.40
[2019-07-13 16:57:01] Epoch 108, LR: 0.010000, Train Loss: 0.757111, Val Loss: 0.792753, Train Acc: 72.26, Val Acc: 71.08, Val Balanced Acc: 0.50
[2019-07-13 17:07:56] Epoch 109, LR: 0.010000, Train Loss: 0.753973, Val Loss: 0.826121, Train Acc: 72.25, Val Acc: 71.18, Val Balanced Acc: 0.48
[2019-07-13 17:18:48] Epoch 110, LR: 0.010000, Train Loss: 0.754774, Val Loss: 0.774722, Train Acc: 72.25, Val Acc: 71.82, Val Balanced Acc: 0.56
[2019-07-13 17:29:42] Epoch 111, LR: 0.010000, Train Loss: 0.751715, Val Loss: 1.004781, Train Acc: 72.21, Val Acc: 68.13, Val Balanced Acc: 0.41
[2019-07-13 17:40:37] Epoch 112, LR: 0.010000, Train Loss: 0.751684, Val Loss: 0.979229, Train Acc: 72.05, Val Acc: 63.71, Val Balanced Acc: 0.43
[2019-07-13 17:51:32] Epoch 113, LR: 0.010000, Train Loss: 0.747896, Val Loss: 1.211343, Train Acc: 72.43, Val Acc: 62.61, Val Balanced Acc: 0.30
