results/color-densenet-40-12_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_ColorSpace/
Data loaded!

8 Classes detected!
batch_size: 32
freezed_epochs: 0
optimizer: sgd
colornet: True
learning_rate: 0.01
pretrained_imagenet: False
resolution_coefficient: 1.0
verbose: False
width_coefficient: 1.0
epochs: 300
crop_size: 128
model_name: color-densenet-40-12
data_augmentation: True
shade_of_gray: False
snapshot: 1
output_dir: results/color-densenet-40-12_sgd_lr0.01_d1.0_w1.0_r1.0_c1.0_DA_steplr_phase2_ColorSpace/
img_size: 150
balanced_sampler: False
compound_coefficient: 1.0
depth_coefficient: 1.0
path_extension: steplr_phase2_ColorSpace
retinex: False

---- Start Training ----
[2019-07-13 07:25:45] Epoch 1, LR: 0.010000, Train Loss: 1.317328, Val Loss: 1.168544, Train Acc: 52.92, Val Acc: 58.11, Val Balanced Acc: 0.21
[2019-07-13 07:36:48] Epoch 2, LR: 0.010000, Train Loss: 1.208440, Val Loss: 1.083810, Train Acc: 56.40, Val Acc: 60.24, Val Balanced Acc: 0.23
[2019-07-13 07:47:40] Epoch 3, LR: 0.010000, Train Loss: 1.174326, Val Loss: 1.056772, Train Acc: 57.36, Val Acc: 60.92, Val Balanced Acc: 0.24
[2019-07-13 07:58:32] Epoch 4, LR: 0.010000, Train Loss: 1.140175, Val Loss: 1.168507, Train Acc: 58.26, Val Acc: 58.74, Val Balanced Acc: 0.22
[2019-07-13 08:09:23] Epoch 5, LR: 0.010000, Train Loss: 1.113751, Val Loss: 1.172613, Train Acc: 59.21, Val Acc: 60.45, Val Balanced Acc: 0.25
[2019-07-13 08:20:13] Epoch 6, LR: 0.010000, Train Loss: 1.098710, Val Loss: 0.980851, Train Acc: 60.40, Val Acc: 64.45, Val Balanced Acc: 0.33
[2019-07-13 08:31:04] Epoch 7, LR: 0.010000, Train Loss: 1.086398, Val Loss: 0.965947, Train Acc: 60.69, Val Acc: 64.61, Val Balanced Acc: 0.32
[2019-07-13 08:41:56] Epoch 8, LR: 0.010000, Train Loss: 1.071632, Val Loss: 0.964758, Train Acc: 60.95, Val Acc: 65.47, Val Balanced Acc: 0.33
[2019-07-13 08:52:47] Epoch 9, LR: 0.010000, Train Loss: 1.064535, Val Loss: 0.944582, Train Acc: 61.40, Val Acc: 66.05, Val Balanced Acc: 0.36
[2019-07-13 09:03:38] Epoch 10, LR: 0.010000, Train Loss: 1.046926, Val Loss: 0.979246, Train Acc: 62.19, Val Acc: 63.97, Val Balanced Acc: 0.33
[2019-07-13 09:14:29] Epoch 11, LR: 0.010000, Train Loss: 1.041259, Val Loss: 0.940210, Train Acc: 62.05, Val Acc: 65.63, Val Balanced Acc: 0.35
[2019-07-13 09:25:24] Epoch 12, LR: 0.010000, Train Loss: 1.034439, Val Loss: 0.925345, Train Acc: 62.40, Val Acc: 66.08, Val Balanced Acc: 0.37
[2019-07-13 09:36:18] Epoch 13, LR: 0.010000, Train Loss: 1.028929, Val Loss: 0.959123, Train Acc: 62.73, Val Acc: 65.32, Val Balanced Acc: 0.36
[2019-07-13 09:47:11] Epoch 14, LR: 0.010000, Train Loss: 1.023432, Val Loss: 0.914302, Train Acc: 62.93, Val Acc: 66.89, Val Balanced Acc: 0.35
[2019-07-13 09:58:04] Epoch 15, LR: 0.010000, Train Loss: 1.022098, Val Loss: 0.911674, Train Acc: 62.85, Val Acc: 67.39, Val Balanced Acc: 0.37
[2019-07-13 10:09:12] Epoch 16, LR: 0.010000, Train Loss: 1.017439, Val Loss: 0.941293, Train Acc: 62.62, Val Acc: 66.05, Val Balanced Acc: 0.35
[2019-07-13 10:20:19] Epoch 17, LR: 0.010000, Train Loss: 1.010250, Val Loss: 1.385603, Train Acc: 63.08, Val Acc: 58.66, Val Balanced Acc: 0.24
[2019-07-13 10:31:28] Epoch 18, LR: 0.010000, Train Loss: 1.007011, Val Loss: 0.922367, Train Acc: 63.43, Val Acc: 66.29, Val Balanced Acc: 0.33
[2019-07-13 10:42:36] Epoch 19, LR: 0.010000, Train Loss: 0.998042, Val Loss: 1.026523, Train Acc: 63.62, Val Acc: 62.84, Val Balanced Acc: 0.32
[2019-07-13 10:53:45] Epoch 20, LR: 0.010000, Train Loss: 0.999063, Val Loss: 0.953971, Train Acc: 63.58, Val Acc: 65.24, Val Balanced Acc: 0.36
[2019-07-13 11:04:53] Epoch 21, LR: 0.010000, Train Loss: 0.998185, Val Loss: 0.909929, Train Acc: 63.42, Val Acc: 67.00, Val Balanced Acc: 0.37
[2019-07-13 11:15:47] Epoch 22, LR: 0.010000, Train Loss: 0.989447, Val Loss: 1.003490, Train Acc: 63.60, Val Acc: 62.95, Val Balanced Acc: 0.32
[2019-07-13 11:26:39] Epoch 23, LR: 0.010000, Train Loss: 0.985339, Val Loss: 0.876962, Train Acc: 63.98, Val Acc: 67.89, Val Balanced Acc: 0.44
[2019-07-13 11:37:45] Epoch 24, LR: 0.010000, Train Loss: 0.992277, Val Loss: 1.491713, Train Acc: 63.94, Val Acc: 58.29, Val Balanced Acc: 0.25
[2019-07-13 11:48:37] Epoch 25, LR: 0.010000, Train Loss: 0.983760, Val Loss: 0.868999, Train Acc: 64.16, Val Acc: 68.53, Val Balanced Acc: 0.42
[2019-07-13 11:59:46] Epoch 26, LR: 0.010000, Train Loss: 0.974268, Val Loss: 0.896010, Train Acc: 64.46, Val Acc: 67.13, Val Balanced Acc: 0.42
[2019-07-13 12:10:55] Epoch 27, LR: 0.010000, Train Loss: 0.981424, Val Loss: 1.138160, Train Acc: 64.07, Val Acc: 61.89, Val Balanced Acc: 0.30
[2019-07-13 12:21:49] Epoch 28, LR: 0.010000, Train Loss: 0.975720, Val Loss: 0.906586, Train Acc: 64.40, Val Acc: 66.97, Val Balanced Acc: 0.41
[2019-07-13 12:32:57] Epoch 29, LR: 0.010000, Train Loss: 0.964653, Val Loss: 0.894594, Train Acc: 64.75, Val Acc: 67.32, Val Balanced Acc: 0.40
[2019-07-13 12:44:08] Epoch 30, LR: 0.010000, Train Loss: 0.964480, Val Loss: 0.897423, Train Acc: 64.55, Val Acc: 68.24, Val Balanced Acc: 0.42
[2019-07-13 12:54:59] Epoch 31, LR: 0.010000, Train Loss: 0.961229, Val Loss: 0.973905, Train Acc: 65.10, Val Acc: 65.18, Val Balanced Acc: 0.35
[2019-07-13 13:06:09] Epoch 32, LR: 0.010000, Train Loss: 0.961376, Val Loss: 0.909197, Train Acc: 64.60, Val Acc: 66.63, Val Balanced Acc: 0.38
[2019-07-13 13:17:20] Epoch 33, LR: 0.010000, Train Loss: 0.963627, Val Loss: 0.888562, Train Acc: 64.58, Val Acc: 67.89, Val Balanced Acc: 0.40
[2019-07-13 13:28:26] Epoch 34, LR: 0.010000, Train Loss: 0.959207, Val Loss: 0.874929, Train Acc: 64.86, Val Acc: 69.13, Val Balanced Acc: 0.45
[2019-07-13 13:39:35] Epoch 35, LR: 0.010000, Train Loss: 0.958879, Val Loss: 1.190251, Train Acc: 64.79, Val Acc: 61.13, Val Balanced Acc: 0.31
[2019-07-13 13:50:48] Epoch 36, LR: 0.010000, Train Loss: 0.949757, Val Loss: 0.939474, Train Acc: 65.11, Val Acc: 66.03, Val Balanced Acc: 0.37
[2019-07-13 14:01:59] Epoch 37, LR: 0.010000, Train Loss: 0.952867, Val Loss: 0.859542, Train Acc: 64.74, Val Acc: 68.82, Val Balanced Acc: 0.44
[2019-07-13 14:13:10] Epoch 38, LR: 0.010000, Train Loss: 0.947957, Val Loss: 0.955276, Train Acc: 65.26, Val Acc: 66.50, Val Balanced Acc: 0.38
[2019-07-13 14:24:17] Epoch 39, LR: 0.010000, Train Loss: 0.942204, Val Loss: 0.838121, Train Acc: 65.40, Val Acc: 69.55, Val Balanced Acc: 0.44
[2019-07-13 14:35:27] Epoch 40, LR: 0.010000, Train Loss: 0.935726, Val Loss: 1.093773, Train Acc: 65.84, Val Acc: 62.53, Val Balanced Acc: 0.33
